id,title,author,genre,publisher,year,author_set,author_set_str,book_id,total_sold
21778,Call of Duty: World at War,Elmer Parker,Mythopoeia,Orion Books,2003,frozenset({'elmer parker'}),elmer parker,21778,20
21374,WarioWare: Touched!,Ms. Kami Prosacco,Mythology,St. Martin's Press,1951,frozenset({'ms. kami prosacco'}),ms. kami prosacco,21374,18
21457,Titanic: Music from the Motion Picture,Zoila Christiansen,Historical fiction,"Farrar, Straus & Giroux",2009,frozenset({'zoila christiansen'}),zoila christiansen,21457,26
21881,Flashdance: Original Soundtrack from the Motion Picture,"Joseph Raynor, Ja Ankunding II",Metafiction,Pen and Sword Books,2024,"frozenset({'ja ankunding ii', 'joseph raynor'})","ja ankunding ii,joseph raynor",21881,11
21446,Riot!,Louanne Cruickshank,Mystery,Bellevue Literary Press,1987,frozenset({'louanne cruickshank'}),louanne cruickshank,21446,11
22052,Cidade de Deus,Johnny Russel,Reference book,Gay Men's Press,1979,frozenset({'johnny russel'}),johnny russel,22052,25
21952,The Yellow Meads of Asphodel,Teresia Fisher,Mystery,Black Library,2000,frozenset({'teresia fisher'}),teresia fisher,21952,21
21583,Citizen Kane,"Sen. Jackson Gutmann, Shelby Willms IV",Suspense/Thriller,University of Chicago Press,1884,"frozenset({'shelby willms iv', 'sen. jackson gutmann'})","sen. jackson gutmann,shelby willms iv",21583,29
21936,Quo Vadis,Sue Stark,Fairy tale,Gefen Publishing House,2019,frozenset({'sue stark'}),sue stark,21936,26
21969,Left 4 Dead,Msgr. Marjorie Koepp,Horror,Medknow Publications,2013,frozenset({'msgr. marjorie koepp'}),msgr. marjorie koepp,21969,25
21605,The Usual Suspects,"Dianne Jakubowski, Cheree Welch",Mystery,Fairview Press,1999,"frozenset({'dianne jakubowski', 'cheree welch'})","cheree welch,dianne jakubowski",21605,18
21975,PokÃ©mon Omega Ruby,Kirsten Schaefer,Fantasy,Hay House,1994,frozenset({'kirsten schaefer'}),kirsten schaefer,21975,14
21513,Counter-Strike: Source,Tegan Runolfsdottir,Speech,George Routledge & Sons,2001,frozenset({'tegan runolfsdottir'}),tegan runolfsdottir,21513,13
21570,Star Wars: Episode VIII â€“ The Last Jedi,Refugio Zboncak PhD,Narrative nonfiction,Tate Publishing & Enterprises,1913,frozenset({'refugio zboncak phd'}),refugio zboncak phd,21570,18
21632,Surprised by Joy,Rico Zemlak,Tall tale,Zed Books,1997,frozenset({'rico zemlak'}),rico zemlak,21632,8
21359,Mary and Max,"Deborah Grant, Roman Osinski Sr., Shanti Hand",Essay,Harper & Row,1911,"frozenset({'roman osinski sr.', 'deborah grant', 'shanti hand'})","deborah grant,roman osinski sr.,shanti hand",21359,15
21788,The Deer Hunter,Richie Gislason,Fiction in verse,Academic Press,2019,frozenset({'richie gislason'}),richie gislason,21788,15
22004,Gladiator,Kristeen Kessler CPA,Fanfiction,Macmillan Publishers,2010,frozenset({'kristeen kessler cpa'}),kristeen kessler cpa,22004,28
21460,Some Buried Caesar,"Adell Considine, Leana Feil, Sen. Vonnie Jerde",Realistic fiction,,2010,"frozenset({'sen. vonnie jerde', 'leana feil', 'adell considine'})","adell considine,leana feil,sen. vonnie jerde",21460,19
22034,Carrion Comfort,Chara Morissette,Classic,Edupedia Publications,2014,frozenset({'chara morissette'}),chara morissette,22034,24
21640,Perfect Dark,Adelia Lind,Tall tale,Penguin Books,2016,frozenset({'adelia lind'}),adelia lind,21640,21
21763,Inglourious Basterds,Kylee Smith,Legend,Gaspereau Press,1985,frozenset({'kylee smith'}),kylee smith,21763,37
21783,Fair Stood the Wind for France,Raul Hoppe,Reference book,Target Books,2024,frozenset({'raul hoppe'}),raul hoppe,21783,23
21734,The Way Through the Woods,Felicita White DO,Fanfiction,HarperCollins,1979,frozenset({'felicita white do'}),felicita white do,21734,27
21996,Gone with the Wind,Sen. Jackson Gutmann,Classic,Vintage Books,1995,frozenset({'sen. jackson gutmann'}),sen. jackson gutmann,21996,17
21411,Grim Fandango,Amb. Nannie Labadie,Short story,Heyday Books,2010,frozenset({'amb. nannie labadie'}),amb. nannie labadie,21411,22
22055,Beyond the Mexique Bay,"Reginia Weissnat, Miss Wade Lebsack",Classic,Ballantine Books,1984,"frozenset({'miss wade lebsack', 'reginia weissnat'})","miss wade lebsack,reginia weissnat",22055,29
21551,Snatch,Rep. Vern Turcotte,Classic,Shambhala Publications,2026,frozenset({'rep. vern turcotte'}),rep. vern turcotte,21551,24
21296,Forrest Gump,Boris Schowalter CPA,Mythology,,2002,frozenset({'boris schowalter cpa'}),boris schowalter cpa,21296,21
21529,Pale Kings and Princes,Danilo Zieme,Narrative nonfiction,Fearless Books,1900,frozenset({'danilo zieme'}),danilo zieme,21529,14
21972,Brothers in Arms,Fletcher Upton,Science fiction,New English Library,1998,frozenset({'fletcher upton'}),fletcher upton,21972,14
21730,PokÃ©mon HeartGold,Dominique Sipes,Metafiction,Athabasca University Press,2013,frozenset({'dominique sipes'}),dominique sipes,21730,15
21846,Thief II,Haywood Wyman,Tall tale,Del Rey Books,2006,frozenset({'haywood wyman'}),haywood wyman,21846,13
21608,Inception,"Delois Koss, Sid Oberbrunner, Catrina Roob PhD",Historical fiction,Gefen Publishing House,1997,"frozenset({'delois koss', 'sid oberbrunner', 'catrina roob phd'})","catrina roob phd,delois koss,sid oberbrunner",21608,21
21595,Network,Zackary Carter,Fairy tale,Koren Publishers Jerusalem,1998,frozenset({'zackary carter'}),zackary carter,21595,40
21395,His Dark Materials,Msgr. Mohammad Koelpin,Fiction in verse,Bowes & Bowes,1989,frozenset({'msgr. mohammad koelpin'}),msgr. mohammad koelpin,21395,5
21733,Postern of Fate,"Amb. Amberly Beatty, Alysa Pouros Esq.",Reference book,Gay Men's Press,,"frozenset({'alysa pouros esq.', 'amb. amberly beatty'})","alysa pouros esq.,amb. amberly beatty",21733,14
21415,The Matrix,Carin Christiansen,Narrative nonfiction,FabJob,1983,frozenset({'carin christiansen'}),carin christiansen,21415,18
21507,Spotlight,"Enrique Gislason, Sean Harvey III, Glenna Huel",Essay,Addison-Wesley,1984,"frozenset({'glenna huel', 'sean harvey iii', 'enrique gislason'})","enrique gislason,glenna huel,sean harvey iii",21507,20
21818,PokÃ©mon Black 2,Kasey Effertz,Folklore,Pen and Sword Books,1989,frozenset({'kasey effertz'}),kasey effertz,21818,19
21441,The Godfather,"Edmundo Oberbrunner, Bernard Bayer, Amb. Elia Lebsack",Essay,George Routledge & Sons,1937,"frozenset({'amb. elia lebsack', 'edmundo oberbrunner', 'bernard bayer'})","amb. elia lebsack,bernard bayer,edmundo oberbrunner",21441,17
21963,A Catskill Eagle,Anton Toy,Narrative nonfiction,Atlas Press,2017,frozenset({'anton toy'}),anton toy,21963,15
21726,Touch of Evil,"Selena Schroeder, Roland Murray",Narrative nonfiction,Ballantine Books,1988,"frozenset({'roland murray', 'selena schroeder'})","roland murray,selena schroeder",21726,10
21899,Blood's a Rover,"Sean Kassulke, Rosann Wolf VM",Crime/Detective,Felony & Mayhem Press,1976,"frozenset({'rosann wolf vm', 'sean kassulke'})","rosann wolf vm,sean kassulke",21899,13
21398,Dead Poets Society,"Anton Toy, Tabetha Johnston",Fantasy,Dedalus Books,2002,"frozenset({'anton toy', 'tabetha johnston'})","anton toy,tabetha johnston",21398,20
21302,Stand by Me,Emile Koepp DO,Fiction in verse,Nauka,1992,frozenset({'emile koepp do'}),emile koepp do,21302,21
21423,"Those Barren Leaves, Thrones, Dominations",Freddie Weissnat,Metafiction,Simon & Schuster,2018,frozenset({'freddie weissnat'}),freddie weissnat,21423,9
21903,The Far-Distant Oxus,Cruz Abshire MD,Western,UCL Press,1980,frozenset({'cruz abshire md'}),cruz abshire md,21903,9
21918,Number the Stars,Candis Ledner Sr.,Humor,Manning Publications,1976,frozenset({'candis ledner sr.'}),candis ledner sr.,21918,27
21485,BrÃ¼tal Legend,Abigail Reynolds,Suspense/Thriller,Felony & Mayhem Press,1980,frozenset({'abigail reynolds'}),abigail reynolds,21485,8
21617,The Silence of the Lambs,Dr. Pat Kunze,Mythology,Eel Pie Publishing,1979,frozenset({'dr. pat kunze'}),dr. pat kunze,21617,33
22036,Mario Kart 8 Deluxe,Shanelle Upton,Fantasy,George Newnes,2017,frozenset({'shanelle upton'}),shanelle upton,22036,22
21974,Far From the Madding Crowd,Matthew Boehm,Realistic fiction,St. Martin's Press,2013,frozenset({'matthew boehm'}),matthew boehm,21974,15
21868,Spice,"Gov. Boyce Franecki, Odell Treutel",Fable,Black Sparrow Books,1995,"frozenset({'odell treutel', 'gov. boyce franecki'})","gov. boyce franecki,odell treutel",21868,16
21386,Doom 3: BFG,"Lavon Langosh, Msgr. Juan Beer, Garth Heidenreich",Mystery,Dedalus Books,1972,"frozenset({'garth heidenreich', 'msgr. juan beer', 'lavon langosh'})","garth heidenreich,lavon langosh,msgr. juan beer",21386,18
21531,Whiplash,Salvatore Mills,Horror,Edupedia Publications,2008,frozenset({'salvatore mills'}),salvatore mills,21531,18
22049,Hotel California,Farah Rohan II,Realistic fiction,Black Library,1990,frozenset({'farah rohan ii'}),farah rohan ii,22049,19
21871,Banjo-Kazooie: Grunty's Revenge,Karisa Kozey,Narrative nonfiction,Eerdmans Publishing,1978,frozenset({'karisa kozey'}),karisa kozey,21871,15
21920,Casino,Marlon Casper,Science fiction,"Harry N. Abrams, Inc.",1993,frozenset({'marlon casper'}),marlon casper,21920,22
22005,Life is Strange,"Era Hodkiewicz, Miss Bok Barrows, Jeffery Leuschke PhD",Western,Del Rey Books,2021,"frozenset({'era hodkiewicz', 'miss bok barrows', 'jeffery leuschke phd'})","era hodkiewicz,jeffery leuschke phd,miss bok barrows",22005,22
21953,The Witcher,Bennett Raynor,Crime/Detective,Pen and Sword Books,2018,frozenset({'bennett raynor'}),bennett raynor,21953,20
21747,Let Us Now Praise Famous Men,Sook Halvorson,Speech,Macmillan Publishers,1959,frozenset({'sook halvorson'}),sook halvorson,21747,17
21869,Call of Duty: Black Ops 4,Sanjuana Bernier,Science fiction,United States Government Publishing Office,1991,frozenset({'sanjuana bernier'}),sanjuana bernier,21869,12
21901,Wildfire at Midnight,Valery Schimmel,Humor,Daedalus Publishing,2007,frozenset({'valery schimmel'}),valery schimmel,21901,18
21618,PokÃ©mon Sun,Miss Ward Farrell,Horror,Hay House,2002,frozenset({'miss ward farrell'}),miss ward farrell,21618,18
21827,The Sixth Sense,Mireya Schroeder,Realistic fiction,Reed Elsevier,2002,frozenset({'mireya schroeder'}),mireya schroeder,21827,32
21723,Rush,Billy Dare,Fairy tale,Anvil Press Poetry,2011,frozenset({'billy dare'}),billy dare,21723,14
22001,PokÃ©mon Sapphire,Amb. Amberly Beatty,Fanfiction,Golden Cockerel Press,1992,frozenset({'amb. amberly beatty'}),amb. amberly beatty,22001,22
21495,I Sing the Body Electric,Hoyt Jacobson III,Textbook,Hodder Headline,1996,frozenset({'hoyt jacobson iii'}),hoyt jacobson iii,21495,30
21780,Clannad,Trevor Turner,Fiction in verse,Mascot Books,2023,frozenset({'trevor turner'}),trevor turner,21780,9
21921,The Wizard of Oz,Rocky Erdman,Comic/Graphic Novel,Athabasca University Press,1984,frozenset({'rocky erdman'}),rocky erdman,21921,14
21648,Call of Duty: Modern Warfare 3,"Alphonso Gulgowski, Josette Nikolaus DC, Mercedez Welch",Tall tale,George Routledge & Sons,1843,"frozenset({'alphonso gulgowski', 'mercedez welch', 'josette nikolaus dc'})","alphonso gulgowski,josette nikolaus dc,mercedez welch",21648,15
21771,Devil May Cry,Bob Treutel DDS,Fiction in verse,Cengage Learning,2024,frozenset({'bob treutel dds'}),bob treutel dds,21771,15
21707,The Departed,Antonio Lindgren,Speech,Vintage Books,2005,frozenset({'antonio lindgren'}),antonio lindgren,21707,11
21684,Mario Kart 7,"Benedict Steuber, Randal McCullough, Jon Hettinger DVM",Speech,Ellora's Cave,2000,"frozenset({'randal mccullough', 'benedict steuber', 'jon hettinger dvm'})","benedict steuber,jon hettinger dvm,randal mccullough",21684,24
21469,Wii Play,"Travis Von, Leighann O'Connell",Fable,Haynes Manuals,1943,"frozenset({'travis von', ""leighann o'connell""})","leighann o'connell,travis von",21469,11
21655,Come Away with Me,"Roman Koss, Sook Halvorson",Crime/Detective,Pan Books,2013,"frozenset({'sook halvorson', 'roman koss'})","roman koss,sook halvorson",21655,23
21902,Backstreet's Back,Kizzie Purdy,Legend,Book League of America,1997,frozenset({'kizzie purdy'}),kizzie purdy,21902,21
21383,The Lord of the Rings: The Fellowship of the Ring,"Fredda Brekke, Vernice Emard, Dylan Upton",Metafiction,Atlantic Books,2022,"frozenset({'fredda brekke', 'dylan upton', 'vernice emard'})","dylan upton,fredda brekke,vernice emard",21383,33
21699,Star Wars: Episode IX â€“ The Rise of Skywalker,"Roman Koss, Sook Halvorson",Comic/Graphic Novel,Ten Speed Press,2014,"frozenset({'sook halvorson', 'roman koss'})","roman koss,sook halvorson",21699,14
21298,Princess Mononoke,Rosann Wolf VM,Comic/Graphic Novel,Hachette Book Group USA,1996,frozenset({'rosann wolf vm'}),rosann wolf vm,21298,20
21773,Shutter Island,Kathey Gorczany,Fable,Bloodaxe Books,1837,frozenset({'kathey gorczany'}),kathey gorczany,21773,15
21914,Mass Effect 2,Prof. Augustus Konopelski,Legend,E. P. Dutton,1945,frozenset({'prof. augustus konopelski'}),prof. augustus konopelski,21914,6
21656,To Say Nothing of the Dog,Veronique Carter,Reference book,Hamish Hamilton,1996,frozenset({'veronique carter'}),veronique carter,21656,18
21767,12 Angry Men,"Coy Streich, Lela Emard, Keeley Hand",Realistic fiction,,2021,"frozenset({'keeley hand', 'lela emard', 'coy streich'})","coy streich,keeley hand,lela emard",21767,12
21326,Halo: Combat Evolved,Joana Botsford,Speech,Nonesuch Press,2022,frozenset({'joana botsford'}),joana botsford,21326,20
21859,Legend: The Best of Bob Marley & The Wailers,Alec Ziemann,Essay,,2023,frozenset({'alec ziemann'}),alec ziemann,21859,12
21407,The Torment of Others,Reid Rice,Mythopoeia,Airiti Press,1914,frozenset({'reid rice'}),reid rice,21407,23
21721,Beyond the Mexique Bay,"Reginia Weissnat, Miss Wade Lebsack",Classic,Gefen Publishing House,1988,"frozenset({'miss wade lebsack', 'reginia weissnat'})","miss wade lebsack,reginia weissnat",21721,21
21538,Command & Conquer 3: Tiberium Wars,Pedro Bradtke,Mythology,Cisco Press,1979,frozenset({'pedro bradtke'}),pedro bradtke,21538,15
21616,Mario Kart: Double Dash,Mr. Dominque Becker,Realistic fiction,Virago Press,2020,frozenset({'mr. dominque becker'}),mr. dominque becker,21616,13
21904,The Sting,Alina Collier Esq.,Classic,Caister Academic Press,1992,frozenset({'alina collier esq.'}),alina collier esq.,21904,12
21653,Blue Remembered Earth,"Joseph Raynor, Ja Ankunding II",Legend,Eel Pie Publishing,1986,"frozenset({'ja ankunding ii', 'joseph raynor'})","ja ankunding ii,joseph raynor",21653,16
21739,Quake,"Renee Rogahn, Merrill Marks",Realistic fiction,Harcourt Trade Publishers,1981,"frozenset({'renee rogahn', 'merrill marks'})","merrill marks,renee rogahn",21739,15
21677,Vanity Fair,Elane Miller,Reference book,Victor Gollancz Ltd,1993,frozenset({'elane miller'}),elane miller,21677,19
21530,Led Zeppelin IV,"Rocky Erdman, Curtis Rohan",Realistic fiction,Tartarus Press,1990,"frozenset({'curtis rohan', 'rocky erdman'})","curtis rohan,rocky erdman",21530,23
21361,Great Work of Time,Laronda Kuhn,Crime/Detective,J. M. Dent,1992,frozenset({'laronda kuhn'}),laronda kuhn,21361,20
22002,LittleBigPlanet,Johnny Russel,Humor,Library of America,2007,frozenset({'johnny russel'}),johnny russel,22002,9
21568,Overwatch,Luigi Parker,Crime/Detective,Imperial War Museum,1982,frozenset({'luigi parker'}),luigi parker,21568,20
21384,The Legend of Zelda,"Sook Halvorson, Roman Koss",Speech,Victor Gollancz Ltd,1995,"frozenset({'sook halvorson', 'roman koss'})","roman koss,sook halvorson",21384,7
21714,Wolfenstein 3D,Elvina Nader,Biography/Autobiography,University of Michigan Press,1995,frozenset({'elvina nader'}),elvina nader,21714,25
21580,Mr Standfast,Sen. Leta Berge,Comic/Graphic Novel,Chatto and Windus,2013,frozenset({'sen. leta berge'}),sen. leta berge,21580,23
22014,Mario Kart 64,Jerald Raynor,Textbook,Indiana University Press,1980,frozenset({'jerald raynor'}),jerald raynor,22014,14
21692,Just Cause 2,Dr. Deb Kemmer,Realistic fiction,Pen and Sword Books,1916,frozenset({'dr. deb kemmer'}),dr. deb kemmer,21692,21
21519,Greatest Hits,Reuben Mayert,Classic,Hackett Publishing Company,2015,frozenset({'reuben mayert'}),reuben mayert,21519,12
21610,Ring of Bright Water,"Timmy Corwin, Franklyn Stokes VM",Legend,Horizon Scientific Press,1996,"frozenset({'franklyn stokes vm', 'timmy corwin'})","franklyn stokes vm,timmy corwin",21610,40
21471,Call of Duty,Myrtis Corwin,Narrative nonfiction,HarperCollins,2026,frozenset({'myrtis corwin'}),myrtis corwin,21471,28
22039,21,"Lavon Langosh, Msgr. Juan Beer, Garth Heidenreich",Fairy tale,Elsevier,2021,"frozenset({'garth heidenreich', 'msgr. juan beer', 'lavon langosh'})","garth heidenreich,lavon langosh,msgr. juan beer",22039,15
21785,Oh! To be in England,Amb. Nannie Labadie,Legend,Indiana University Press,1985,frozenset({'amb. nannie labadie'}),amb. nannie labadie,21785,14
21564,PokÃ©mon Diamond,Sonny Bogan,Classic,Marion Boyars Publishers,1979,frozenset({'sonny bogan'}),sonny bogan,21564,17
21877,Half-Life: Opposing Force,"Anton Toy, Tabetha Johnston",Realistic fiction,Ziff Davis Media,1987,"frozenset({'anton toy', 'tabetha johnston'})","anton toy,tabetha johnston",21877,13
21502,The Shining,Korey Rice V,Reference book,Libertas Academica,1996,frozenset({'korey rice v'}),korey rice v,21502,16
21347,Blade Runner,Zackary Carter,Suspense/Thriller,Eel Pie Publishing,1987,frozenset({'zackary carter'}),zackary carter,21347,18
21536,Counter-Strike,Pres. Donya West,Horror,D. Appleton & Company,2004,frozenset({'pres. donya west'}),pres. donya west,21536,14
21465,Die Hard,Rocky Erdman,Mystery,Allen Ltd,2007,frozenset({'rocky erdman'}),rocky erdman,21465,16
21343,Halo 5: Guardians,"Coy Streich, Keeley Hand, Lela Emard",Horror,HarperCollins,1997,"frozenset({'keeley hand', 'lela emard', 'coy streich'})","coy streich,keeley hand,lela emard",21343,24
21861,All About Eve,Andreas Mohr,Textbook,Felony & Mayhem Press,2001,frozenset({'andreas mohr'}),andreas mohr,21861,15
21659,Fortnite,"Norberto Kohler, Moshe Wilderman",Metafiction,Newnes,1974,"frozenset({'moshe wilderman', 'norberto kohler'})","moshe wilderman,norberto kohler",21659,26
21824,A Glass of Blessings,Garth Marvin,Horror,Holt McDougal,2022,frozenset({'garth marvin'}),garth marvin,21824,26
21378,The Wall,Elliot Monahan,Speech,Anvil Press Poetry,2024,frozenset({'elliot monahan'}),elliot monahan,21378,11
21385,Twelve Monkeys,Earnest Glover,Mythology,Mascot Books,1983,frozenset({'earnest glover'}),earnest glover,21385,26
22042,25,Benjamin Mills,Fantasy,Marshall Cavendish,1964,frozenset({'benjamin mills'}),benjamin mills,22042,15
21435,Super Mario World,Jerry Cormier,Legend,Bantam Books,1848,frozenset({'jerry cormier'}),jerry cormier,21435,19
21545,The Dark Side of the Moon,"Beverly McDermott, Pedro Bradtke",Tall tale,Velazquez Press,1965,"frozenset({'pedro bradtke', 'beverly mcdermott'})","beverly mcdermott,pedro bradtke",21545,17
21665,Back in Black,"Sen. Amber Roberts, Prof. Augustus Konopelski",Realistic fiction,Etruscan Press,1992,"frozenset({'sen. amber roberts', 'prof. augustus konopelski'})","prof. augustus konopelski,sen. amber roberts",21665,9
21346,Where Angels Fear to Tread,"Yesenia Raynor DDS, Hue Ondricka I, Lewis Boehm",Fantasy,DAW Books,2024,"frozenset({'hue ondricka i', 'yesenia raynor dds', 'lewis boehm'})","hue ondricka i,lewis boehm,yesenia raynor dds",21346,17
21858,It's a Battlefield,"Julius Barrows, Tamika Hayes",Legend,Flame Tree Publishing,1982,"frozenset({'julius barrows', 'tamika hayes'})","julius barrows,tamika hayes",21858,13
21439,The Cricket on the Hearth,Josue Grady,Fiction in verse,ECW Press,2025,frozenset({'josue grady'}),josue grady,21439,8
21745,Toy Story 3,"Msgr. Juan Beer, Garth Heidenreich, Lavon Langosh",Narrative nonfiction,Harper & Row,1976,"frozenset({'garth heidenreich', 'msgr. juan beer', 'lavon langosh'})","garth heidenreich,lavon langosh,msgr. juan beer",21745,13
21577,The Wolf of Wall Street,Ozzie Jast,Fable,Ignatius Press,1994,frozenset({'ozzie jast'}),ozzie jast,21577,8
22057,Consider Phlebas,Matthew Boehm,Folklore,Berkley Books,-1,frozenset({'matthew boehm'}),matthew boehm,22057,28
21759,Call of Duty: Black Ops II,Benjamin Mills,Tall tale,New Holland Publishers,1993,frozenset({'benjamin mills'}),benjamin mills,21759,14
21808,The Wings of the Dove,"Antione O'Reilly, Josette Nikolaus DC",Speech,University of Chicago Press,1997,"frozenset({""antione o'reilly"", 'josette nikolaus dc'})","antione o'reilly,josette nikolaus dc",21808,12
21351,Team Fortress 2,Jermaine Wehner,Legend,Earthscan,1985,frozenset({'jermaine wehner'}),jermaine wehner,21351,19
21364,Gran Torino,Jeffry Nolan Ret.,Mythology,Bantam Spectra,0,frozenset({'jeffry nolan ret.'}),jeffry nolan ret.,21364,22
21501,A Summer Bird-Cage,Leighann O'Connell,Humor,Signet Books,1984,"frozenset({""leighann o'connell""})",leighann o'connell,21501,19
21319,X&Y,Caroyln Wilderman,Historical fiction,Darakwon Press,2012,frozenset({'caroyln wilderman'}),caroyln wilderman,21319,13
21688,Halo 3: ODST,"Dominque Fisher, Leigh Bednar",Fairy tale,ECW Press,2012,"frozenset({'dominque fisher', 'leigh bednar'})","dominque fisher,leigh bednar",21688,14
21924,The Wonderful 101,Jerrold Bogan LLD,Horror,Shire Books,2015,frozenset({'jerrold bogan lld'}),jerrold bogan lld,21924,15
21543,Wii Music,Cleo Predovic,Historical fiction,Kessinger Publishing,1990,frozenset({'cleo predovic'}),cleo predovic,21543,25
21317,The House of Mirth,"Elmer Parker, Mireya Schroeder",Fable,St. Martin's Press,1990,"frozenset({'mireya schroeder', 'elmer parker'})","elmer parker,mireya schroeder",21317,9
21643,Fight Club,Latrina Kuphal,Narrative nonfiction,Athabasca University Press,2011,frozenset({'latrina kuphal'}),latrina kuphal,21643,21
22050,WarioWare: Touched!,Ms. Kami Prosacco,Mythology,Chatto and Windus,1976,frozenset({'ms. kami prosacco'}),ms. kami prosacco,22050,22
21597,PokÃ©mon FireRed,Timmy Corwin,Comic/Graphic Novel,Victor Gollancz Ltd,2009,frozenset({'timmy corwin'}),timmy corwin,21597,29
